tps
0.00
34.98
34.98
28.70
28.70
16.86
16.86
18.29
18.29
23.33
23.33
26.73
26.73
30.48
30.48
31.18
31.18
29.75
29.75
29.09
29.09
29.14
29.14
30.20
30.20
29.36
29.36
29.58
29.58
30.18
30.18
28.36
28.36
31.02
31.02
29.54
29.54
30.31
29.79
29.79
29.82
29.82
30.13
30.13
31.01
31.01
29.61
29.61
29.63
29.63
29.60
29.60
29.83
29.83
28.39
28.39
30.27
30.27
30.64
30.64
29.33
29.33
29.48
29.48
29.44
29.44
29.70
29.70
30.18
30.18
29.48
29.48
29.76
29.76
29.70
29.70
30.24
30.24
29.59
0.00
32.69
32.69
28.20
28.20
