tps
0.00
31.42
31.42
22.63
22.63
13.77
13.77
12.17
12.17
12.73
12.73
13.32
13.32
13.84
13.84
14.54
14.54
15.41
15.41
16.53
16.53
18.27
18.27
21.23
21.23
25.28
25.28
29.88
29.88
34.17
34.17
34.60
34.60
32.12
32.12
32.19
32.32
32.32
32.01
32.01
32.29
32.29
32.28
32.28
32.35
32.35
32.05
32.05
31.85
31.85
31.70
31.70
32.20
32.20
32.10
32.10
32.40
32.40
31.54
31.54
32.46
32.46
31.69
31.69
30.78
30.78
31.18
31.18
31.94
31.94
31.80
31.80
31.64
31.64
31.85
31.85
31.66
31.66
31.63
