tps
0.00
32.68
32.68
28.48
28.48
14.80
14.80
13.64
13.64
13.64
13.64
14.78
14.78
16.66
16.66
20.58
20.58
24.48
24.48
28.93
28.93
31.55
30.00
30.00
28.98
28.98
29.33
29.33
29.09
29.09
29.15
29.15
29.00
29.00
29.21
29.21
29.12
29.12
28.95
28.95
29.09
29.09
29.12
29.12
28.43
28.43
28.96
28.96
29.10
29.10
29.11
29.11
29.25
29.25
28.47
28.47
28.72
28.72
28.89
28.89
28.81
28.81
28.40
28.40
28.56
28.56
28.18
28.18
27.47
27.47
28.62
28.51
28.51
28.59
28.59
29.41
29.41
29.00
29.00
