tps
0.00
5.55
5.55
11.81
11.81
13.18
13.18
11.53
11.53
10.37
10.37
10.42
10.42
11.59
11.59
11.15
11.15
11.82
11.82
11.11
11.11
11.42
11.42
11.21
11.21
11.32
11.32
11.44
11.44
11.14
11.14
10.59
10.59
11.63
11.63
12.69
12.69
12.50
12.32
12.32
10.80
10.80
11.25
11.25
11.56
11.56
11.93
11.93
11.60

0.00
43.99
43.99
99.88
99.88
106.46
106.46
0.00
97.59
97.59
156.37
156.37
162.56
162.56
137.72
137.72
113.63
113.63
110.51
110.51
93.78
