tps
0.00
35.46
35.46
24.56
24.56
14.58
14.58
12.87
12.87
13.88
13.88
14.96
14.96
16.66
19.26
19.26
24.16
24.16
32.88
32.88
39.78
39.78
35.27
35.27
33.31
33.31
33.54
33.54
33.69
33.69
32.23
32.23
33.46
33.46
32.84
32.84
33.73
33.73
33.47
33.47
33.64
33.64
33.50
33.50
33.29
33.29
33.39
33.39
33.72
33.72
33.77
33.77
33.25
33.25
33.95
33.95
33.69
33.69
33.39
33.39
33.43
33.43
33.30
33.30
33.41
33.41
32.55
32.55
33.06
33.06
32.56
32.56
32.99
32.99
33.34
33.34
33.31
33.31
33.81
